               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12169,            0.018314,            0.031863,           0.0021693,             0.54167,            0.011175,           0.0025903,             0.12557,            0.012824,            0.030377,              0.0973,              0.0003,              0.0003
                   1,             0.12042,             0.01809,            0.030999,            0.002399,             0.41667,            0.031433,           0.0042956,              0.1174,            0.013343,            0.029541,            0.093677,           0.0006769,           0.0006769
                   2,             0.11292,            0.021518,            0.030801,           0.0020881,            0.083333,             0.04426,           0.0097236,            0.097939,            0.014605,            0.028717,            0.090027,           0.0010274,           0.0010274
                   3,            0.096867,             0.02225,            0.029579,            0.002606,             0.66667,            0.086463,            0.042679,            0.084601,            0.015663,            0.027942,            0.086351,           0.0013515,           0.0013515
                   4,            0.090607,            0.024925,            0.028623,           0.0029865,                0.75,            0.088528,            0.043037,            0.079486,            0.016174,            0.026868,            0.082649,           0.0016492,           0.0016492
                   5,            0.088507,            0.026951,            0.027338,           0.0029751,                0.75,            0.013117,           0.0040369,            0.075889,            0.016351,            0.025714,            0.078921,           0.0019205,           0.0019205
                   6,            0.086285,            0.026707,            0.026983,           0.0033398,             0.83333,            0.016684,           0.0045851,            0.069508,            0.016854,            0.024524,            0.075165,           0.0021654,           0.0021654
                   7,            0.080893,            0.028052,            0.026139,           0.0033374,             0.83333,            0.020518,           0.0099223,            0.068208,            0.016402,            0.022925,            0.071384,           0.0023839,           0.0023839
                   8,            0.075642,             0.02816,            0.024971,           0.0033356,             0.83333,            0.044662,            0.017317,             0.06928,            0.015524,            0.022748,            0.067576,            0.002576,            0.002576
                   9,            0.074678,             0.02669,            0.024379,           0.0037571,             0.91667,             0.12562,             0.05118,            0.064468,            0.015435,            0.022253,            0.063742,           0.0027417,           0.0027417
                  10,            0.071587,            0.026223,            0.022922,           0.0037575,             0.91667,            0.083498,            0.042651,            0.065322,            0.014655,            0.021982,            0.059881,            0.002881,            0.002881
                  11,            0.068711,            0.027695,            0.022483,            0.023824,                   1,             0.18938,            0.048632,            0.060379,            0.014621,             0.02128,            0.055994,           0.0029939,           0.0029939
                  12,            0.067233,            0.026463,            0.022064,               0.126,             0.48899,             0.30388,            0.099592,            0.058861,             0.01409,            0.019949,             0.05208,           0.0030804,           0.0030804
                  13,            0.063482,            0.028145,            0.021784,             0.15604,             0.66667,             0.33153,             0.12074,            0.056298,            0.014115,            0.019501,            0.048141,           0.0031405,           0.0031405
                  14,            0.061173,            0.025542,            0.020039,             0.35494,             0.54167,             0.44413,             0.19441,            0.056663,            0.013521,            0.019373,            0.044174,           0.0031742,           0.0031742
                  15,            0.057327,            0.025881,            0.020303,             0.44626,             0.54167,             0.45907,             0.17905,            0.054241,            0.013267,            0.018793,            0.040182,           0.0031815,           0.0031815
                  16,            0.059537,            0.027277,            0.019855,             0.31623,             0.66667,             0.47961,             0.23163,            0.054023,            0.012987,            0.020389,            0.036162,           0.0031624,           0.0031624
                  17,            0.055607,            0.024557,            0.018312,             0.16787,             0.50419,              0.4255,             0.26409,            0.056998,            0.012844,            0.021024,            0.032117,           0.0031169,           0.0031169
                  18,            0.057562,            0.024896,            0.017325,             0.76614,                0.25,              0.3895,             0.08722,            0.052775,            0.012905,            0.021045,            0.028045,            0.003045,            0.003045
                  19,            0.058464,            0.023112,            0.016963,             0.21498,             0.66667,             0.42565,             0.23433,            0.050932,            0.012747,            0.020569,            0.023947,           0.0029467,           0.0029467
                  20,            0.053582,            0.024493,             0.01752,             0.33422,             0.62961,             0.51618,             0.32937,            0.051045,            0.012416,            0.019324,            0.019822,            0.002822,            0.002822
                  21,            0.056349,            0.026391,            0.016296,             0.76049,             0.54436,             0.59457,             0.32498,            0.053727,            0.012142,            0.018265,            0.015671,           0.0026709,           0.0026709
                  22,            0.050531,            0.021172,            0.015986,             0.69825,             0.54167,             0.56512,             0.32378,            0.053344,            0.012009,            0.017081,            0.011493,           0.0024934,           0.0024934
                  23,            0.052226,            0.023133,            0.015496,             0.60855,             0.54167,             0.66321,             0.35111,            0.051218,             0.01186,            0.016418,           0.0072895,           0.0022895,           0.0022895
                  24,            0.052262,            0.025039,            0.014696,             0.51456,             0.69017,             0.66238,             0.39066,            0.049127,            0.011787,            0.016614,           0.0030592,           0.0020592,           0.0020592
                  25,            0.049753,            0.023853,            0.014227,              0.6597,             0.91583,             0.75742,             0.38078,            0.046998,            0.011672,            0.016803,             0.00175,             0.00175,             0.00175
                  26,            0.051548,            0.020716,            0.013424,             0.66695,             0.79167,             0.78067,             0.39896,            0.047977,            0.011557,            0.016037,             0.00175,             0.00175,             0.00175
                  27,            0.049064,            0.022815,             0.01284,             0.73055,               0.625,              0.8184,             0.45662,            0.045363,            0.011491,            0.015103,             0.00142,             0.00142,             0.00142
                  28,            0.047537,            0.022269,            0.011822,             0.86025,             0.69338,             0.86038,             0.49289,            0.046094,             0.01116,            0.014673,             0.00109,             0.00109,             0.00109
                  29,            0.049386,            0.023219,            0.012255,              0.8451,             0.70833,             0.86033,              0.5019,            0.044371,             0.01143,            0.014096,             0.00076,             0.00076,             0.00076
